id,value
ant,
ant.simonrodriguezi,
ant.Corpoeducacion.laempresasocial,523,1
ant.Corpoeducacion.AccionSocialEmp,92,0
ant.Corpoeducacion.FundProVivienda,2473,122
ant.Corpoeducacion.RTVCco,98524,8140
ant.Corpoeducacion.Voluntare,3146,10400
ant.Corpoeducacion.AdriVargasR,415,273
ant.Corpoeducacion.CSR360GPN,5400,339
ant.Corpoeducacion.ANDI_Colombia,82457,259
ant.Corpoeducacion.ONU_es,1029853,199
ant.Corpoeducacion.el_BID,364556,130
ant.Corpoeducacion.CanalSolidario,25239,21
ant.Corpoeducacion.RedeSciELO,39618,232
ant.Corpoeducacion.portalprofessor,22155,3
ant.Corpoeducacion.metas2021,22208,5218
ant.Corpoeducacion.educaciongob,164562,283
ant.Corpoeducacion.enlight_ED,60373,1051
ant.Corpoeducacion.ReDeSoc_LAC,1982,87
ant.Corpoeducacion.redescolarilce,607,7
ant.Corpoeducacion.CooperacionIB,19364,17801
ant.Corpoeducacion.AECID_es,41803,3163
ant.Corpoeducacion.educultdigital,3438,4
ant.Corpoeducacion.EducaRedPE,3748,202
ant.Corpoeducacion.portalinnova,1324,10
ant.Corpoeducacion.Escuela_wke,7346,368
ant.Corpoeducacion.federacionISF,5241,1433
ant.Corpoeducacion.CulturaenBta,150312,12030
ant.Corpoeducacion.SEP_mx,714129,3066
ant.Corpoeducacion.SemMonteria,7905,2167
ant.Corpoeducacion.Bogota,1472410,3297
ant.Corpoeducacion.kaotot,1019,471
ant.Corpoeducacion.SONANDOCUENTOS,5023,372
ant.Corpoeducacion.elmjuan,1839,1733
ant.Corpoeducacion.omuel28,711,618
ant.Corpoeducacion.olaznoGB,766,1570
ant.Corpoeducacion.CarlosLucerna,26,0
ant.Corpoeducacion.antonioxxii,101,11
ant.Corpoeducacion.inigoldem,423,1046
ant.Corpoeducacion.Utbvirtual,2326,166
ant.Corpoeducacion.XGDC,1142,1228
ant.Corpoeducacion.educacontic,97219,29
ant.Corpoeducacion.PorColombiaYORK,78,0
ant.Corpoeducacion.LinaSalazar,897,2163
ant.Corpoeducacion.LatinaSmart,3429,174
ant.Corpoeducacion.TFColombia,34,0
ant.Corpoeducacion.AfeColombia,3425,1859
ant.Corpoeducacion.InsideOutGlobal,503,4
ant.Corpoeducacion.1000currents,3881,1898
ant.Corpoeducacion.SVNPOFoundation,29214,1349
ant.Corpoeducacion.Portaltic,40288,1027
ant.Corpoeducacion.RubenRabines,40311,4746
ant.Corpoeducacion.Fundacion_ExE,5132,237
ant.Corpoeducacion.CompuParaEducar,356773,5956
ant.Corpoeducacion.CancilleriaCol,214628,655
ant.Corpoeducacion.OEA_oficial,765645,8717
